Name: Contract 3I, Value: 290000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract I, Parent Description: Description for Parent Contract I
Name: Contract 3G, Value: 270000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract G, Parent Description: Description for Parent Contract G
Name: Contract 4G, Value: 275000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract G, Parent Description: Description for Parent Contract G
Name: Contract 1G, Value: 70000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract G, Parent Description: Description for Parent Contract G
Name: Contract 2G, Value: 75000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract G, Parent Description: Description for Parent Contract G
Name: Contract 3B, Value: 220000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract B, Parent Description: Description for Parent Contract B
Name: Contract 4B, Value: 225000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract B, Parent Description: Description for Parent Contract B
Name: Contract 1B, Value: 20000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract B, Parent Description: Description for Parent Contract B
Name: Contract 2B, Value: 25000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract B, Parent Description: Description for Parent Contract B
Name: Contract 1A, Value: 10000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract A, Parent Description: Description for Parent Contract A
Name: Contract 2A, Value: 15000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract A, Parent Description: Description for Parent Contract A
Name: Contract 3A, Value: 210000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract A, Parent Description: Description for Parent Contract A
Name: Contract 4A, Value: 215000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract A, Parent Description: Description for Parent Contract A
Name: Contract 1H, Value: 80000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract H, Parent Description: Description for Parent Contract H
Name: Contract 2H, Value: 85000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract H, Parent Description: Description for Parent Contract H
Name: Contract 3H, Value: 280000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract H, Parent Description: Description for Parent Contract H
Name: Contract 4H, Value: 285000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract H, Parent Description: Description for Parent Contract H
Name: Contract 2K, Value: 115000.0, Start Date: 2023-10-01, End Date: 2024-10-01, Parent Name: Parent Contract K, Parent Description: Description for Parent Contract K
Name: Contract 3K, Value: 310000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract K, Parent Description: Description for Parent Contract K
Name: Contract 4K, Value: 315000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract K, Parent Description: Description for Parent Contract K
Name: Contract 1K, Value: 110000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract K, Parent Description: Description for Parent Contract K
Name: Contract 1S, Value: 190000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract S, Parent Description: Description for Parent Contract S
Name: Contract 2S, Value: 195000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract S, Parent Description: Description for Parent Contract S
Name: Contract 4S, Value: 395000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract S, Parent Description: Description for Parent Contract S
Name: Contract 3S, Value: 390000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract S, Parent Description: Description for Parent Contract S
Name: Contract 3F, Value: 260000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract F, Parent Description: Description for Parent Contract F
Name: Contract 4F, Value: 265000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract F, Parent Description: Description for Parent Contract F
Name: Contract 1F, Value: 60000.0, Start Date: 2023-11-01, End Date: 2024-11-01, Parent Name: Parent Contract F, Parent Description: Description for Parent Contract F
Name: Contract 2F, Value: 65000.0, Start Date: 2023-12-01, End Date: 2024-12-01, Parent Name: Parent Contract F, Parent Description: Description for Parent Contract F
Name: Contract 3C, Value: 230000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract C, Parent Description: Description for Parent Contract C
Name: Contract 4C, Value: 235000.0, Start Date: 2023-10-01, End Date: 2024-10-01, Parent Name: Parent Contract C, Parent Description: Description for Parent Contract C
Name: Contract 1C, Value: 30000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract C, Parent Description: Description for Parent Contract C
Name: Contract 2C, Value: 35000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract C, Parent Description: Description for Parent Contract C
Name: Contract 3M, Value: 330000.0, Start Date: 2023-05-01, End Date: 2024-05-01, Parent Name: Parent Contract M, Parent Description: Description for Parent Contract M
Name: Contract 4M, Value: 335000.0, Start Date: 2023-06-01, End Date: 2024-06-01, Parent Name: Parent Contract M, Parent Description: Description for Parent Contract M
Name: Contract 1M, Value: 130000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract M, Parent Description: Description for Parent Contract M
Name: Contract 2M, Value: 135000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract M, Parent Description: Description for Parent Contract M
Name: Contract 3J, Value: 300000.0, Start Date: 2023-11-01, End Date: 2024-11-01, Parent Name: Parent Contract J, Parent Description: Description for Parent Contract J
Name: Contract 1J, Value: 100000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract J, Parent Description: Description for Parent Contract J
Name: Contract 4J, Value: 305000.0, Start Date: 2023-12-01, End Date: 2024-12-01, Parent Name: Parent Contract J, Parent Description: Description for Parent Contract J
Name: Contract 2J, Value: 105000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract J, Parent Description: Description for Parent Contract J
Name: Contract 3Q, Value: 370000.0, Start Date: 2023-01-01, End Date: 2024-01-01, Parent Name: Parent Contract Q, Parent Description: Description for Parent Contract Q
Name: Contract 1Q, Value: 170000.0, Start Date: 2023-09-01, End Date: 2024-09-01, Parent Name: Parent Contract Q, Parent Description: Description for Parent Contract Q
Name: Contract 4Q, Value: 375000.0, Start Date: 2023-02-01, End Date: 2024-02-01, Parent Name: Parent Contract Q, Parent Description: Description for Parent Contract Q
Name: Contract 2Q, Value: 175000.0, Start Date: 2023-10-01, End Date: 2024-10-01, Parent Name: Parent Contract Q, Parent Description: Description for Parent Contract Q
Name: Contract 1L, Value: 120000.0, Start Date: 2023-11-01, End Date: 2024-11-01, Parent Name: Parent Contract L, Parent Description: Description for Parent Contract L
Name: Contract 2L, Value: 125000.0, Start Date: 2023-12-01, End Date: 2024-12-01, Parent Name: Parent Contract L, Parent Description: Description for Parent Contract L
Name: Contract 4L, Value: 325000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract L, Parent Description: Description for Parent Contract L
Name: Contract 3L, Value: 320000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract L, Parent Description: Description for Parent Contract L
Name: Contract 1P, Value: 160000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract P, Parent Description: Description for Parent Contract P
Name: Contract 3P, Value: 360000.0, Start Date: 2023-11-01, End Date: 2024-11-01, Parent Name: Parent Contract P, Parent Description: Description for Parent Contract P
Name: Contract 4P, Value: 365000.0, Start Date: 2023-12-01, End Date: 2024-12-01, Parent Name: Parent Contract P, Parent Description: Description for Parent Contract P
Name: Contract 2P, Value: 165000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract P, Parent Description: Description for Parent Contract P
Name: Contract 1T, Value: 200000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract T, Parent Description: Description for Parent Contract T
Name: Contract 2T, Value: 205000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract T, Parent Description: Description for Parent Contract T
Name: Contract 3T, Value: 400000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract T, Parent Description: Description for Parent Contract T
Name: Contract 4T, Value: 405000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract T, Parent Description: Description for Parent Contract T
Name: Contract 3N, Value: 340000.0, Start Date: 2023-07-01, End Date: 2024-07-01, Parent Name: Parent Contract N, Parent Description: Description for Parent Contract N
Name: Contract 4N, Value: 345000.0, Start Date: 2023-08-01, End Date: 2024-08-01, Parent Name: Parent Contract N, Parent Description: Description for Parent Contract N
Name: Contract 1N, Value: 140000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract N, Parent Description: Description for Parent Contract N
Name: Contract 2N, Value: 145000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract N, Parent Description: Description for Parent Contract N
Name: Contract 2R, Value: 185000.0, Start Date: 2023-12-01, End Date: 2024-12-01, Parent Name: Parent Contract R, Parent Description: Description for Parent Contract R
Name: Contract 3R, Value: 380000.0, Start Date: 2023-03-01, End Date: 2024-03-01, Parent Name: Parent Contract R, Parent Description: Description for Parent Contract R
Name: Contract 4R, Value: 385000.0, Start Date: 2023-04-01, End Date: 2024-04-01, Parent Name: Parent Contract R, Parent Description: Description for Parent Contract R
Name: Contract 1R, Value: 180000.0, Start Date: 2023-11-01, End Date: 2024-11-01, Parent Name: Parent Contract R, Parent Description: Description for Parent Contract R
